Name,Episodes,Premiere Year,Final Year,Country,Rating,,
Crusader Rabbit,195,1948,1959,US,6.8,,
The Puppetoon Show,6,1949,1950,US,7.1,,
Adventures of Pow Wow,52,1949,1950,US,6.6,,
Tele-Comics/NBC Comics,165,1949,1951,US,6.6,,
Jim and Judy in Teleland,52,1949,1949,US,,,
Winky Dink and You,65,1953,1957,US,7.9,,
The Adventures of Paddy the Pelican,6,1954,1954,US,1.5,,
Felix the Cat,126,1958,1962,US,6.9,,
Mighty Mouse Playnouse,75,1955,1965,US,6.8,,
Captain Kangaroo,6090,1955,1984,US,8.1,,
Tom Terrific,26,1957,1959,US,7.9,,
The Ruff and Reddy Show,156,1957,1960,US,6.9,,
Colonel Bleep,104,1957,1960,US,6.7,,
The Adventures of Spunky and Tadpole,19,1958,1961,US,6.4,,
Bozo: The World's Most Famous Clown,156,1958,1962,US,8.1,,
The Huckleberry Hound Show,69,1958,1962,US,6.7,,
Yogi Bear,35,1958,1960,US,6.7,,
Pixie and Dixie and Mr.Jinks,57,1958,1962,US,6.3,,
The Space Explorers,26,1958,1959,US,8.5,,
Clutch Cargo,52,1959,1959,US,5.4,,
The Rocky and Bullwinkle Show,163,1959,1964,US,7.8,,
Capt'n Sailorbird,190,1959,1960,US,,,
The Quick Draw McGraw Show,45,1959,1962,US,7,,
Augie Doggie and Doggie Daddy,45,1959,1961,US,,,
Mel-O-Toons,26,1959,1960,US,6.9,,
Carland Cross,26,1996,1997,US,,,
Arthur,250,1996,Present,US,7.4,,
Magical Project S,26,1996,1998,Japan,7.6,,
Detective Conan,850,1996,Presemt,Japan,8.4,,
Dragon Ball GT,64,1996,1997,Japan,6.9,,
Famous Dog Lassie,26,1996,1996,Japan,5.9,,
Ganba! Fly High,30,1996,1996,Japan,,,
Ge Ge Ge no Kitaro(1996),114,1996,1998,Japan,6.8,,
Hajime Ningen Gon,39,1996,1996,Japan,6.2,,
Hell Teacher Nube,49,1996,1997,Japan,7.6,,
Kaiketsu Zorro,52,1996,1997,Japan,7.8,,
Kiko-chan's Smile,51,1996,1997,Japan,6.4,,
Baby and Me,35,1996,1997,Japan,,,
Bakuso Kyodai Let's & Go!!,51,1996,1996,Japan,7.2,,
Boys Over Flowers,51,1996,1997,Japan,8.2,,
Brave Command Dagwon,48,1996,1997,Japan,7.1,,
B't X,25,1996,1996,Japan,7.5,,
The Story of Cinderella,26,1996,1996,Japan,,,
The Vision of Escaflowne,26,1996,1996,Japan,7.8,,
Those Who Hunt Elves,12,1996,1996,Japan,7.1,,
Courage the Cowardly Dog,52,1999,2002,US,8.3,,
Ben 10,52,2005,2008,US,7.2,,
Horrid Henry,220,2006,Present,UK,6.2,,
Steven Universe,160,2013,Present,US,8.3,,
Adeventure Time,283,2010,2018,US,8.6,,
Gravity Falls,40,2012,2016,US,8.9,,
Teen Titans Go!,242,2013,Present,US,5,,
The Amazing World of Gumball,231,2011,Present,"US, UK",8.2,,
Teenage Mutant Ninja Turtles,193,1987,1996,US,7.9,,
"Ed, Edd n Eddy",70,1999,2009,US,7.5,,
SpongeBob SquarePants,244,1999,2018,US,8.1,,
The Fairly OddPants,161,2001,2018,US,7.2,,
Tom and Jerry,114,1940,2014,US,7,,
Clifford the Big Red Dog,65,2000,2003,"US, UK",6.7,,
Dragon Tales,93,1999,2005,"US, Canada",6.3,,
Dinosaur Train,89,2009,Present,"US, Canada, Singapore",6.7,,
The Powerpuff Girs,78,1998,2005,US,7.3,,
