Name,Director,Genre,Network
Colonel Bleep,Jack Schleh,Sci-Fi,Syndication
The Adventures of Spunky and Tadpole,Unknown,Children's TV,None
Bozo: The World's Most Famous Clown,"Paul Fennell, LArry Harmon, Jerry Hitchcock",Comedy,None
The Huckleberry Hound Show,"Joseph Barbera, William Hanna",Comedy,First-run Syndication
Yogi Bear,Eric Brevig,Comedy,Syndication
Pixie and Dixie and Mr.Jinks,"Joseph Barbera, William Hanna",Cartoon,First-run Syndication
The Space Explorers,"Bill Cayton, Fred Ladd",Animation,PBS
Clutch Cargo,Clark Haas,Children's TV,First-run Syndication
The Rocky and Bullwinkle Show,"Jay Ward, Alex Anderson, Bill Scott",Comedy/Slapstick/ Adventure Fiction,ABC/NBC
Capt'n Sailorbird, Saul J. Turell,Children's TV,Army Forces Network
The Quick Draw McGraw Show,"Joseph Barbera, William Hanna",Animated Series/Comedy,First-run Syndication
Augie Doggie and Doggie Daddy,"Joseph Barbera, William Hanna",Cartoons/Comedy/ Animation,First-run Syndication
Mel-O-Toons,Unknown,Animated Series,New World Productions
Carland Cross,"Michel Oleffe, Olivier Grenson",Crime Fiction/Mystery/ Thriller,BRTN
Arthur,Greg Bailey,Sitcom,PBS
Magical Project S,Katsuhito Akiyama,Comedy,
Detective Conan,Kenji Kodama,Mystery/Thriller,NNS
Dragon Ball GT,Osamu Kasai,Fantasy/Comedy/Adventure Fiction,Fuji TV
Famous Dog Lassie,Sunao Katabuchi,Drama,Fuji TV
Ganba! Fly High,Hajime Kamegaki,Sport,Yomiuri TV
GeGeGe no Kitaro(1996),Kouji Ogawa,Horror/Supernatural,Fuji TV
Hajime Ningen Gon,Ytaka Kagawa,Comedy/Historical,ABC
Hell Teacher Nube,Yukio Kaizawa,Comedy/Horror Fiction,TV Asahi
Kaiketsu Zorro,Katsumi Minoguchi,History/Adventure Fiction,NHK
Kiko-chan's Smile,Setsuko Shibuichi,Comedy/Adventure,TBS
Baby and Me,Takahiro Oomori,Drama,TV Tokyo
Bakuso Kyodai Let's & Go!!,"Tetsuro Amino, Takao Kato",Action,TV Tokyo
Boys Over Flowers,Jun Ki Sang,Romance/Comedy/Drama,KBS2
Brave Command Dagwon,Tomomi Mochizuki,Action,Nagoya Broadcasting Network
B't X,Masami Kurumada,Anime/Sci-Fi/Adventure,TBS
The Story of Cinderella,Hiroshi Sasagawa,Anime,NHK
The Vision of Escaflowne,Kazuki Akane,Fantasy/Romance,TV Tokyo
Those Who Hunt Elves,"Kazuyoshi Katayama, Hiroshi Fukutomi",Comedy/Fantasy/Action/Adventure,TV Tokyo
Courage the Cowardly Dog,John Dilworth,Animation/Comedy/Horror,Cartoon Network
Ben 10,Victor Crook,Action/Sci-Fi/Adventure/Animation,Cartoon Network
Horrid Henry,Dave Unwin,Action/Comedy/Adventure,Nicktoons
Steven Universe,Joe Johnston,Action/Comedy,Cartoon Network
Adeventure Time,Larry Leichliter,Comedy/Fantasy/Adventure,Cartoon Network
Gravity Falls,Alex Hirsch,Mystery/Comedy,Disney 
Teen Titans Go!,"Micheal Jelenic, Aaron Horvath",Animation/Comedy,Cartoon Network
The Amazing World of Gumball,Mc Graves,Animation/Comedy/Sitcom,Cartoon Network
Teenage Mutant Ninja Turtles,Ciro Nieli,Comedy/Action/Drama/Adventure,Nickelodeon
"Ed, Edd n Eddy",Danny Antonucci,Slapstick,Cartoon Network
SpongeBob SquarePants,Patrick Creadon,Comedy,Nickelodeon
The Fairly OddPants,Butch Hartman,Fantasy/Children's TV,Nickelodeon
Tom and Jerry,"William Hanna, Joseph Barbera, Tony Cervone",Animation/Comedy/Cartoon,Cartoon Network
Clifford the Big Red Dog,Deborah Forte,"Education, Comedy, Fantasy",PBS Kids
Dragon Tales,Michael Hack,Animation/Adventure/Children's TV,PBS Kids
Dinosaur Train,Craig Bartlett,Children's TV/Drama,PBS
The Powerpuff Girls,"Craig McCraken, Genndy Tartakovsky",Comedy/Animation/Adventure,Cartoon Network
